instance,best_cost,n_customers,n_routes,time_s,out_json,out_png,total_load,avg_load,max_load,avg_route_dist,route_loads,route_dists
R111,1599.9512388104033,100,17,0.18738174438476562,results/aco_repeats\baseline\repeat_1\R111_acs_result.json,results/aco_repeats\baseline\repeat_1\R111_acs_routes.png,1458,85.765,148,94.115,148;55;92;117;130;128;97;106;88;108;85;61;51;77;54;18;43,69.97;83.76;55.86;96.04;77.66;91.70;110.50;124.87;109.62;107.94;81.93;110.02;142.71;76.76;91.92;63.78;104.91
R112,1265.3120757512409,100,14,0.2086470127105713,results/aco_repeats\baseline\repeat_1\R112_acs_result.json,results/aco_repeats\baseline\repeat_1\R112_acs_routes.png,1458,104.143,130,90.379,90;87;127;106;97;127;130;101;127;118;107;107;93;41,95.11;73.81;85.43;84.00;94.35;59.14;116.45;113.31;107.06;104.97;105.49;106.70;73.45;46.04
R201,1770.6543206982865,100,14,0.19102048873901367,results/aco_repeats\baseline\repeat_1\R201_acs_result.json,results/aco_repeats\baseline\repeat_1\R201_acs_routes.png,1458,104.143,167,126.475,146;64;106;87;148;167;131;91;113;102;68;109;96;30,115.21;117.09;132.62;88.66;142.14;169.61;109.33;119.34;107.88;139.74;104.65;129.70;173.92;120.76
R202,1669.234093361693,100,13,0.2006547451019287,results/aco_repeats\baseline\repeat_1\R202_acs_result.json,results/aco_repeats\baseline\repeat_1\R202_acs_routes.png,1458,112.154,200,128.403,146;199;200;196;103;89;127;30;150;85;85;38;10,79.58;96.90;223.35;171.66;167.55;65.73;177.17;87.86;131.14;152.03;91.93;154.49;69.86
R203,1456.3448773502296,100,10,0.23462533950805664,results/aco_repeats\baseline\repeat_1\R203_acs_result.json,results/aco_repeats\baseline\repeat_1\R203_acs_routes.png,1458,145.8,200,145.634,200;200;200;192;196;156;170;82;21;41,115.39;106.70;103.09;169.86;193.34;175.37;226.98;108.74;93.06;163.81
R204,1175.1252797596153,100,9,0.27080464363098145,results/aco_repeats\baseline\repeat_1\R204_acs_result.json,results/aco_repeats\baseline\repeat_1\R204_acs_routes.png,1458,162.0,200,130.569,179;174;200;200;199;196;197;82;31,85.51;108.19;70.95;171.71;215.21;177.01;145.57;133.87;67.10
R205,1400.1759065998947,100,9,0.258868932723999,results/aco_repeats\baseline\repeat_1\R205_acs_result.json,results/aco_repeats\baseline\repeat_1\R205_acs_routes.png,1458,162.0,199,155.575,167;178;165;199;173;195;181;86;114,148.94;156.57;138.59;210.43;151.99;107.33;176.24;148.70;161.40
R206,1363.2834384258058,100,9,0.2408745288848877,results/aco_repeats\baseline\repeat_1\R206_acs_result.json,results/aco_repeats\baseline\repeat_1\R206_acs_routes.png,1458,162.0,200,151.476,200;200;200;199;185;178;104;114;78,154.49;173.10;78.99;145.70;196.21;139.73;146.71;161.46;166.88
R207,1244.855063276258,100,9,0.25443434715270996,results/aco_repeats\baseline\repeat_1\R207_acs_result.json,results/aco_repeats\baseline\repeat_1\R207_acs_routes.png,1458,162.0,200,138.317,200;200;200;200;156;196;180;119;7,161.90;174.63;104.45;97.62;146.71;133.66;259.39;112.41;54.08
R208,1086.23124329573,100,8,0.282881498336792,results/aco_repeats\baseline\repeat_1\R208_acs_result.json,results/aco_repeats\baseline\repeat_1\R208_acs_routes.png,1458,182.25,199,135.779,199;199;199;183;199;198;185;96,122.62;118.77;107.94;122.39;137.45;156.26;172.23;148.57
